day,identifier,nb_hits,nb_visits,nb_product_pages,nb_orders,orders_amount,nb_touchpoints
2020-03-16,43,431887,43586,134963,578,75429.24,"{""direct"":170216,""email"":35484,""organic"":108537,""paid_search"":43438}"
2019-10-08,43,1219158,118223,355598,25603,1170684.98,"{""direct"":397788,""email"":325592,""organic"":186461,""paid_search"":121174}"
2020-01-11,43,3877783,240950,1328516,92754,3864745.18,"{""direct"":1978642,""email"":517356,""organic"":567631,""paid_search"":623491}"
2019-10-05,43,1631078,131438,528713,1337,56047.82,"{""direct"":679110,""email"":278669,""organic"":334769,""paid_search"":144584}"
2019-12-21,43,801669,83883,236814,2545,127707.55,"{""direct"":318520,""email"":50535,""organic"":250127,""paid_search"":110671}"
2020-01-08,43,6631467,367897,2244184,6825,288423.87,"{""direct"":3277803,""email"":621957,""organic"":1117387,""paid_search"":1033842}"
2020-05-03,43,1351582,123774,421253,52,3260,"{""direct"":392960,""email"":40451,""organic"":473221,""paid_search"":169799}"
2019-06-19,43,1570040,139191,457096,2771,147691.22,"{""direct"":563025,""email"":210886,""organic"":332841,""paid_search"":160318}"
2019-10-10,43,859160,87392,262477,28558,1300831.71,"{""direct"":292599,""email"":119978,""organic"":181968,""paid_search"":101106}"
2019-08-21,43,372795,51205,94861,1088,60177.01,"{""direct"":96817,""email"":46538,""organic"":71219,""paid_search"":24545}"
2019-05-17,43,858961,92549,250705,21694,1125125.13,"{""direct"":278082,""email"":84561,""organic"":230180,""paid_search"":69006}"
2019-08-29,43,269804,45835,57218,23043,1383205.4,"{""direct"":51773,""email"":14159,""organic"":36811,""paid_search"":21245}"
2020-03-01,43,1587024,118178,545843,4743,253916.57,"{""direct"":721488,""email"":190737,""organic"":491260,""paid_search"":91109}"
2019-12-13,43,1294599,135790,375906,1282,63543.95,"{""direct"":451409,""email"":103013,""organic"":344256,""paid_search"":144898}"
